"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11"
"06030500102",0,6,3,5,1,1,1,2,4,2,5,1,2,3,4,1,2,,,,2,,
"06030503003",1,6,3,5,8,88,30,3,1,,,1,5,1,11,,2,,,,2,,
"06040200801",1,6,4,2,8,88,8,1,1,,,2,,,,,2,,,,2,,
"06040500203",1,6,4,5,8,88,2,3,1,4,3,1,5,2,11,1,1,1,1,4,2,,
"06060800402",1,6,6,8,8,88,4,2,1,11,,1,4,1,11,,2,,,,2,,
"06060801401",1,6,6,8,8,88,14,1,1,,,1,20,2,1,,1,1,1,,2,,
"07010300404",1,7,1,3,8,88,4,4,1,10,5,2,,,,,1,1,1,9,2,,
"07010502502",1,7,1,5,8,88,25,2,1,9,,1,6,2,4,9,1,1,1,11,2,,
"07010800701",1,7,1,8,8,88,7,1,1,9,10,1,45,2,9,4,1,1,10,,1,30,10
"07011000102",0,7,1,10,1,1,1,2,4,5,10,1,5,2,4,,1,1,9,,1,4,2
"07011100401",1,7,1,11,8,88,4,1,1,4,10,1,2,2,4,6,1,1,9,,2,,
"07011202605",1,7,1,12,8,88,26,5,1,4,5,1,25,2,1,,1,1,10,9,2,,
"07020200105",0,7,2,2,1,1,1,5,4,1,9,1,5,2,10,4,1,1,4,10,1,10,15
"07020201001",1,7,2,2,8,88,10,1,1,4,3,1,10,2,4,9,1,1,1,,2,,
"07020501302",1,7,2,5,8,88,13,2,1,4,,1,3,2,4,,2,,,,2,,
"07020701001",1,7,2,7,8,88,10,1,1,4,6,1,30,2,8,11,2,,,,2,,
"07021001401",1,7,2,10,8,88,14,1,1,4,6,1,10,2,4,9,2,,,,2,,
"07030200501",1,7,3,2,8,88,5,1,1,4,10,1,25,1,1,4,2,,,,2,,
"07030400501",1,7,3,4,8,88,5,1,1,,,1,17,2,11,,2,,,,2,,
"07030600204",1,7,3,6,8,88,2,4,1,10,,1,2,2,11,,2,,,,2,,
"07040101103",1,7,4,1,8,88,11,3,1,4,,1,2,2,4,,1,1,1,,2,,
"07040400903",1,7,4,4,8,88,9,3,1,,,1,1,2,4,,1,1,1,,2,,
"07040601903",1,7,4,6,8,88,19,3,1,,,1,20,2,11,,2,,,,2,,
"07040901103",1,7,4,9,8,88,11,3,1,4,6,2,,,,,1,1,4,11,2,,
"07041000105",0,7,4,10,1,1,1,5,4,10,1,2,,,,,1,2,4,11,1,10,3
"07041200908",1,7,4,12,8,88,9,8,1,4,,2,,,,,1,1,1,,2,,
"07041700202",1,7,4,17,8,88,2,2,1,,,2,,,,,2,,,,2,,
"07050100907",1,7,5,1,8,88,9,7,1,4,1,1,25,1,1,11,2,,,,2,,
"07050201705",1,7,5,2,8,88,17,5,1,4,,1,20,1,11,,2,,,,2,,
"07050302201",1,7,5,3,8,88,22,1,1,4,7,2,,,,,1,1,4,1,2,,
"07050500304",1,7,5,5,8,88,3,4,1,4,,1,15,2,1,4,2,,,,2,,
"07050601303",1,7,5,6,8,88,13,3,1,4,10,2,,,,,1,2,4,11,2,,
"07060201501",1,7,6,2,8,88,15,1,1,4,5,1,20,2,11,9,2,,,,2,,
"07060300103",0,7,6,3,1,1,1,3,4,10,,1,5,2,11,9,1,1,9,,2,,
"07060500601",1,7,6,5,8,88,6,1,1,11,3,1,3,2,11,9,2,,,,2,,
"07060700601",1,7,6,7,8,88,6,1,1,4,6,1,20,3,10,9,2,,,,2,,
"07061000902",1,7,6,10,8,88,9,2,1,4,6,1,10,2,4,10,2,,,,2,,
"07070100903",1,7,7,1,8,88,9,3,1,5,10,1,20,2,11,,1,1,11,,2,,
"07070202904",1,7,7,2,8,88,29,4,1,10,,2,,,,,1,1,1,9,2,,
"07070302101",1,7,7,3,8,88,21,1,1,4,10,1,10,2,9,,2,,,,2,,
"07070600103",0,7,7,6,8,88,1,3,4,10,11,2,,,,,1,1,11,10,1,90,10
"07080100401",1,7,8,1,8,88,4,1,1,,,1,50,1,1,,1,1,1,,2,,
"07080300206",1,7,8,3,8,88,2,6,1,4,,2,,,,,2,,,,2,,
"07080301501",1,7,8,3,8,88,15,1,1,4,,2,,,,,2,,,,2,,
"07090200503",1,7,9,2,8,88,5,3,1,4,,1,1,1,1,,2,,,,2,,
"07090500303",1,7,9,5,8,88,3,3,1,5,,2,,,,,2,,,,2,,
"07090600104",0,7,9,6,1,1,1,4,1,4,10,1,1,1,11,,1,2,11,,1,1,5
"07090701501",1,7,9,7,8,88,15,1,1,5,11,1,1,1,11,,2,,,,2,,
"07090900601",1,7,9,9,8,88,6,1,1,4,,2,,,,,2,,,,2,,
"07100100403",1,7,10,1,8,88,4,3,1,5,4,1,10,2,11,,2,,,,2,,
"07100301001",1,7,10,3,8,88,10,1,1,4,3,1,2,2,1,11,1,1,1,10,2,,
"07100602401",1,7,10,6,8,88,24,1,1,4,9,2,,,,,2,,,,2,,
"07100800105",0,7,10,8,1,1,1,5,1,10,4,1,5,2,6,11,2,,,,1,1,5
"07100901703",1,7,10,9,8,88,17,3,1,2,3,1,10,2,9,11,2,,,,1,4,0
"07101202901",1,7,10,12,8,88,29,1,1,5,4,1,1,2,11,1,2,,,,2,,
"07110100201",1,7,11,1,8,88,2,1,1,4,,1,5,1,1,,1,1,1,,2,,
"07110301302",1,7,11,3,8,88,13,2,1,4,,2,,,,,1,1,1,,2,,
"07110400302",0,7,11,4,1,1,3,2,1,4,,2,,,,,1,1,4,,2,,
"07110401603",1,7,11,4,8,88,16,3,1,4,,1,1,1,11,,2,,,,2,,
"07110502003",1,7,11,5,8,88,20,3,1,4,,1,2,2,1,,2,,,,2,,
"07110800501",1,7,11,8,8,88,5,1,1,11,,1,10,1,1,,1,1,1,,2,,
"07120100102",1,7,12,1,8,88,1,2,1,,,2,,,,,1,1,1,11,2,,
"07120101602",1,7,12,1,8,88,16,2,1,5,10,1,2,1,11,,2,,,,2,,
"07120102802",1,7,12,1,8,88,28,2,1,5,10,1,3,1,11,,1,1,9,,2,,
"07130101301",1,7,13,1,8,88,13,1,1,4,,2,,,,,2,,,,2,,
"07130102505",1,7,13,1,8,88,25,5,1,,,2,,,,,2,,,,2,,
